id,lat,lon,alt,name,muni,prov
ESPVA4600000046164D,39.6211111111,-0.71,160.0,,,
ESPVA0300000003792B,38.7383333333,-0.0680555555556,278.0,,,
ESCAT1700000017162A,41.9627777778,2.7375,100.0,,,
ESCAT0800000008012A,41.4005555556,2.1575,78.0,,,
ESPVA4600000046920A,39.4752777778,-0.417222222222,27.0,,,
ESMAD2800000028738A,41.0388888889,-3.61444444444,1120.0,,,
ESPVA4600000046417A,39.1975,-0.336111111111,20.0,,,
ESPVA0300000003730C,38.7613888889,0.148333333333,33.0,,,
ESAST3300000033582A,43.3641666667,-5.43694444444,215.0,,,
ESMAD2800000028723B,40.7488888889,-3.60027777778,860.0,,,
ESCAT4300000043770A,41.0991666667,0.649722222222,30.0,,,
ESPVA4600000046183C,39.5666666667,-0.530555555556,92.0,,,
ESPVA4600000046250A,39.195,-0.506944444444,40.0,,,
ESPVA0300000003730N,38.7902777778,0.162777777778,65.0,,,
ESCAT1700000017800D,42.1652777778,2.49972222222,509.0,,,
ESPVA1200000012170B,40.4647222222,0.181388888889,315.0,,,
ESPVA0300000003729A,38.7272222222,0.0419444444444,234.0,,,
ESPVA0300000003181D,37.9983333333,-0.664722222222,20.0,,,
ESPVA4600000046800D,38.9916666667,-0.513611111111,103.0,,,
ESPVA4600000046770A,39.0327777778,-0.215555555556,7.0,,,
ESPVA4600000046460B,39.3636111111,-0.409166666667,8.0,,,
ESMAD2800000028032A,40.4033333333,-3.62166666667,710.0,,,
ESCAT0800000008695C,42.2516666667,1.86388888889,798.0,,,
ESPVA4600000046790A,39.0097222222,-0.218333333333,23.0,,,
ESPVA4600000046635C,38.7972222222,-0.786666666667,628.0,,,
ESEUS2000000020012B,43.315,-1.96583333333,72.0,,,
ESPVA4600000046815A,39.0186111111,-0.533333333333,111.0,,,
ESPVA4600000046185C,39.5863888889,-0.54,98.0,,,
ESCAT0800000008469A,41.7544444444,2.4,435.0,,,
ESCAT0800000008180E,41.8127777778,2.08722222222,735.0,,,
ESPVA4600000046668A,39.0102777778,-0.460833333333,92.0,,,
ESPVA4600000046613A,39.1477777778,-0.329722222222,14.0,,,
ESAST3300000033750A,43.5583333333,-6.82611111111,70.0,,,
ESCAT0800000008180A,41.8122222222,2.10194444444,705.0,,,
ESPVA1200000012191A,40.0997222222,-0.000555555555556,308.0,,,
ESPVA4600000046111B,39.5305555556,-0.410555555556,38.0,,,
ESPVA4600000046670A,39.0880555556,-0.476388888889,39.0,,,
ESPVA0300000003181F,37.9772222222,-0.684166666667,15.0,,,
ESPVA0300000003730O,38.7775,0.110833333333,80.0,,,
ESMAD2800000028792A,40.8152777778,-3.7575,1130.0,,,
ESAND2300000023600A,37.7172222222,-3.97111111111,672.0,,,
ESIBA0700000207840A,38.9847222222,1.53388888889,33.0,,,
ESAND2300000023680C,37.4791666667,-3.9225,926.0,,,
ESCAT0800000008750C,41.4105555556,2.0225,64.0,,,
ESNAF3100000031190A,42.7833333333,-1.74333333333,450.0,,,
ESPVA4600000046220B,39.3666666667,-0.456666666667,68.0,,,
ESCAT4300000043364C,41.3261111111,1.00416666667,1203.0,,,
ESCAT0800000008691A,41.6116666667,1.84333333333,170.0,,,
ESARA2200000022194A,42.1358333333,-0.468333333333,475.0,,,
ESPVA4600000046816B,39.0038888889,-0.565277777778,120.0,,,
ESCAT1700000017482A,42.0475,2.86361111111,52.0,,,
ESCAT0800000008214B,41.5072222222,2.11861111111,120.0,,,
ESCAT1700000017700C,42.4213888889,2.87194444444,112.0,,,
ESGAL2700000027678A,42.8452777778,-7.13277777778,610.0,,,
ESCAT4300000043362A,41.2605555556,0.938611111111,753.0,,,
ESEXT1000000010800B,39.9925,-6.54194444444,260.0,,,
ESIBA0700000207820A,38.9858333333,1.3,35.0,,,
ESIBA0700000107192B,39.6541666667,2.48333333333,145.0,,,
ESAND0400000004160A,36.9169444444,-2.275,312.0,,,
ESPVA0300000003830D,38.7711111111,-0.432222222222,410.0,,,
ESCAT2500000025177A,41.3536111111,0.668333333333,528.0,,,
ESIBA0700000107141C,39.5938888889,2.70694444444,35.0,,,
ESIBA0700000107500D,39.5525,3.2025,90.0,,,
ESCAT2500000025284D,42.1591666667,1.56555555556,2003.0,,,
ESCAT1700000017490A,42.3780555556,3.15305555556,28.0,,,
ESCAT2500000025284C,42.1713888889,1.55,1786.0,,,
ESPVA0300000003780A,38.8266666667,-0.1175,81.0,,,
ESCYL4000000040196A,40.9705555556,-4.10888888889,1070.0,,,
ESAND1800000018220A,37.2855555556,-3.67472222222,674.0,,,
ESPVA4600000046711A,38.96,-0.130277777778,3.0,,,
ESCAT2500000025180A,41.5641666667,0.528055555556,137.0,,,
